,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
204,7.1,--,Marek DobesStepán Kopriva,Marek DobesStepán KoprivaJirí Pavlovský,"Pavel and Eva are two teenagers who live a happy life full of McDonald's food, action movies and pop music. But one night, Pavel stumbles upon a secret gathering of intellectuals in the woods on his way to the video store. Not wanting to be discovered, the intellectuals attack him and the chief intellectual bites him in the leg. Some times later, he begins changing...... Read all",16m,I Was a Teenage Intellectual (Byl jsem mladistvým intelektuálem)
205,6.4,--,Bill Plympton,Bill Plympton,A mischievious man plays an assortment of extreme practical jokes on unsuspecting victims - like replacing one man's razor with a chainsaw.,7m,Surprise Cinema
206,8.8,--,Patrick Hogan,Patrick Hogan,"Whitney's dream of meeting the perfect man is turning into a nightmare. Then, in an unexpected moment, she meets him and gets his business card. But a strong gust of wind blows the business card out of her hands and leads Whitney on a comical, slapstick quest to recapture the card and find the man of her dreams. But in the end, she discovers that sometimes what you're... Read all",12m,The Business Card
207,--,50%,Joe AlterJoe Alter,Grant Moran,Couple of Jersey garbage men chit-chatting while they make their rounds. Experimental CG Short.,--,Jersey
208,--,43%,Steen Agro,Steen Agro,"Gary turns up at Alison's door claiming she is his mother but they're the same age so it's impossible, isn't it?",13m,Mother's Day
209,5.0,--,Steven L. Austin,Josh Olson,"""Bill"" is a gung-ho advertising executive with too much power and too few people skills. We find him working on a campaign for a soothing vacation package, but his life is quite the opposite: a constant barrage of mobile phone calls, pages and faxes. One evening, as Bill wraps up the deal (while simultaneously listening to a CD, his answering machine messages, and wat... Read all",15m,A Moment of Silence
210,--,67%,Thomas Gill,Matt Jennings,"A young man named Milton has just received a package in the mail, but he can't see it because an annoying redneck named Mudd won't leave him alone.",--,The Package
211,9.3,43%,Philip Pucci,Chris HumePhilip Pucci,We follow a movie extra's performances in several films.,--,The Extra
212,7.7,--,Jennifer Phang,Jeff KirschenbaumJennifer Phang,"When a gay asian brother and sister decide to ""come out"" at dinner on the very same night the unexpected happens.",24m,"Love, Ltd."
213,6.2,--,Grant Barbeito,Grant Barbeito,A man prepares his suicide up to the point of perfection.,6m,Ruben
214,6.6,--,Imogen Murphy,Imogen Murphy,"Marty is very short; but he's neither nasty nor brutish, he's a genuinely nice guy, rich in friends but solitary in the game of love. Women, as he says, are over his head; he's out of their picture. Then, he meets Alison, and on a hike up a fairly steep mountain, he shows his down-to-earth courtesy, and she notices his eyes. Life, like Marty, is short. Has he met his ... Read all",10m,Short
215,7.5,--,Taz Goldstein,Taz GoldsteinRobert Moniot,"After getting noticed by Miramax Pictures for his short film, a filmmaker has a moral dilemma when it comes up to facing the truth about the work he may (or may not) have made.",21m,The Dancing Cow
216,8.3,--,Jimmy Zeilinger,Jimmy Zeilinger,"Alfie is the brother no one notices, and at his hot-shot brother Richard's wedding, Alfie's father insults him, his brother puts him down, he gets fired, and he falls off a second-story ledge to his death. He's in line to enter Heaven, when the Devil recruits him. The deal: go back to Earth, break all Ten Commandments in an hour, and get to join the big, eternal party... Read all",18m,Damned If You Do
217,7.0,--,Jamie Goold,Jamie GooldJohnny Vaughan,A man with a hangover loses an important computer disk and blames his girlfriend.,9m,The Rules of Engagement
218,--,--,Maria Brenner,Maria Brenner,Add a plot,--,Dressing the Nelsons
219,--,--,Enda Hughes,Enda Hughes,"Silent movie classic Battleship Potemkin, re-imagined in the style of a video game.",3m,Comm-Raid on the Potemkin
220,--,--,Ryan Sharp,Ryan Sharp,"This sketch comedy series is fresh, hilarious, and always engaging! Skits were often created with random public citizens in real public locations. The cast, included Ryan Sharp, Dustin Boes, Doug Rideway, and Walter Cherry. They were able to become a variety of different characters throughout the series that were always very funny. Content is fairly clean and family f... Read all",--,Saturday Night Crackups
221,6.7,--,Lionel Soukaz,José Cunéo,Add a plot,4m,La cuisine de Cunéo
222,5.5,--,Samuel Vartek,Samuel Vartek,"Surreal dark comedy/tragedy centering on the romantic tragedies of clockmaker Richard Dock, who must navigate through a Kafka fantasy world and choose whether or not to save his ex-wife's life by killing an innocent woman.",10m,Holiday on the Moon
223,--,--,R.J. Fox,R.J. Fox,A man goes to great lengths to avoid some unwanted guests.,--,Jehovah's Unwitnessed
224,6.4,--,Spike Brandt,Earl KressKathleen Helppie-Shipley,"Baby Wile E. Coyote is told by his father, Cage E., that he's not to speak until he catches a roadrunner. Wile E. tries several products from Acme Jr., including a jack-in-the-box and a water-rocket-propelled bike. They maintain the fine tradition of Acme quality products.",8m,Little Go Beep
225,6.7,--,Todd Portugal,Steve Oedekerk,A parody story about the sinking of the unsinkable ship,26m,Thumbtanic
226,8.0,88%,Ralph Eggleston,Ralph Eggleston,A group of snooty birds roosting on a telephone wire get their just deserts when a goofy bird drops in.,3m,For the Birds
227,7.3,--,Luke Greenfield,Luke GreenfieldDavid Scotti,"You all know Bruno...Bruno is a born loser with the ladies. Scoffed and scorned, the only thing Bruno could pick up in a singles' bar is the check! Until now. Now Bruno sees the girl of his dreams and he'll fight all odds to win her - even her lesbian girlfriend. In a 10-minute brawl of hilarity, Bruno finds ""The Right Hook,"" a short film that asks the age-old questio... Read all",10m,The Right Hook
228,7.2,--,Fernando Altamirano,Iréne Eltebo,,18m,Gropen
229,--,--,Stefan Lampadius,Stefan LampadiusThomas Lang,A man from Kosovo wants to become a German citizen. A German official does not.,5m,Der Nächste bitte!
230,--,--,Marko Nabersnik,Marko Nabersnik,"What should we do, if we are not happy with our lives? It's simple. A moment is enough for us to take a plunge. And nothing is the same as before.",18m,Z ljubeznijo
231,--,--,Brian Michael Finn,Mike May,A young man of questionable sanity carries on his day holding conversations with his doll friend whom no one else can see.,23m,Mike & Bill
232,6.3,--,Lincoln Kupchak,Lincoln Kupchak,"Another group of young people travels to Paradise Hot Tubs and is quickly dispatched by the psycho killer, Derrick.",5m,Hot Tubs II: The Terror Returns
233,7.4,--,Virgil Widrich,Virgil Widrich,"Unknowingly, a copy shop employee sets off a bizarre series of events with utterly unforeseen consequences.",12m,Copy Shop
234,8.1,--,Elizabeth Allen Rosenbaum,Nick Pustay,"""Eyeball Eddie"" is the story of the stormy relationship between a prosthetic glass eye and the insecure boy stuck behind it. What follows is a dark comedy about the price of popularity. In the world of high-school wrestling, there is only the strong and the weak - and EDDIE MALICK may be the weakest you've ever seen. Shy, scrawny, and perpetually body-slammed, Eddie s... Read all",29m,Eyeball Eddie
235,--,--,Stacey L. HolmanJeffrey Starr,Stacey L. Holman,A pampered twenty-something African-American woman learns to face the realities of adult life with help of her three girlfriends in a book club.,2m,Girl Talk
236,8.3,--,John Mossman,Laura LeeTim MillerJohn Mossman,A Milwaukee housewife who is a Jello champion in the early 1960's dreams of freedom in 'The American West' as she tries to balance her goals with real life.,22m,Jell-Ohh Lady
237,8.5,--,Tom Blomquist,Geoff Koch,Add a plot,--,Prison Life
238,--,--,Amy Klitsner,Sara C. CaldwellAnna Maria Prezio,"When Sierra's boyfriend finds her a free place to stay, she's thrilled. But when the inhabitants of the Topanga residence make her question her sanity, she discovers they're caught in a deadly game that ends in the crawl space.",26m,Crawl Space
239,7.0,--,Mark Goffman,Mark Goffman,,--,Studio Notes
240,--,--,Angus Strachan,Angus Strachan,"When the gun-totin Blonde Babes from Hell steal their boyfriends, the three bandito Amigo Sisters ride into Sydney town and go the ballistic biff 'n bash to get their Boofy-Blokes back... Ole!",--,Hey Amigos!
241,8.4,--,Massimo Stella,Massimo Stella,Every choice has consequences. So: are you sure that you want to watch this tape?,13m,Brusdlainz
242,--,--,Josh AppignanesiMisha Manson-Smith,James Rawlings,"Satire about class in the spoof documentary form, The Brixtonian describes the world of an upper-class white trustafarian who thinks he's a rasta. The mock doc and white guys who think they are black may seem old hat now, but this short actually pre-dates Ali G by a couple of years.",11m,The Brixtonian
243,7.9,--,Stefan PrehnJörg Wagner,Jörg WagnerStefan Prehn,Short film depicting a fictional educational film about fork lift truck operational safety. The dangers of unsafe operation are presented in gory details.,10m,Forklift Driver Klaus: The First Day on the Job
244,--,--,Danddara,DanddaraRodrigo Guéron,A young musician and community leader dies unexpectedly and the Mangueria samba school community gathers to honor him. Surprising things are going to happen during this strange ceremony.,--,Gurufim na Mangueira
