,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
222,"5,4",100%,Geneviève Jolliffe,Geneviève JolliffeChris Jones,"After a car accident, Lizzie lies dead on the roadside - slowly she is taken into the light - but is pulled back to earth when she is revived by the doctors. Lizzie feels sure that during the 184 seconds that she lay dead, something latched on to her and came back into her world. The nightmares and visions that follow only crystallize her belief that she should have d... Leer todo",1h 22min,Urban Ghost Story
223,"5,9",--,Karin Julsrud,Kjetil IndregardFinn Gjerdrum,"Añade un argumento en tu idioma
An Oslo detective visits a hick town to investigate some murders rumored by the locals to have been the work of 'angels'. More likely, given the unsavory types he meets, vengeance and vigilantism are the very human motivations behind.",1h 40min,1732 Høtten
224,"5,9",29%,Will Gould,Charles LambertMatthew Read,"Once upon a time in the village of Kromer lived two beautiful young wolves. Cocksure Gabriel takes newcomer Seth under his paw and helps reconcile him to the vilification associated with being a wolf. They fall head-over-heels in puppy love, playing together around picturesque waterfalls, secluded woodlands, and moonlit lakes. One day a wicked old crone and her goofy ... Leer todo",1h 22min,The Wolves of Kromer
225,"5,6",--,Mariano Lamberti,Roberta CalandraMariano Lamberti,Añade un argumento en tu idioma,2h 22min,Non con un bang
226,"5,4",--,Antoni Aloy,Henry JamesBarbara GognyAntoni Aloy,"Añade un argumento en tu idioma
Henry James' classic tale of terror, ""The Turn of the Screw"" receives yet another screen adaptation in this thriller shot in Spain. A young woman (Sadie Frost) is hired to serve as a governess for two children, Miles and Flora (Nilo Mur and Ella Jones). She is hired by their uncle, the Master (Harvey Keitel), who became the guardian of the youngsters after the death o... Leer todo",1h 34min,El celo
227,"4,8",--,Hung-Wah Leung,Hung-Wah Leung,"Añade un argumento en tu idioma
Four youngsters playing the game of 'Contacting Ghosts'. One of them sees a ghost with long hair and the horror begins.",1h 25min,San chuen lo see
228,"6,1",62%,Peter Filardi,Peter Filardi,"Añade un argumento en tu idioma
Based on the true story of drugs, satanism, and murder in the upper class town of Northport, Long Island in 1984.",1h 51min,Ricky 6
229,"4,8",--,Janusz Kaminski,Pierce GardnerBetsy Stahl,"Un profesor católico conoce a un periodista ateo, a quien un grupo de católicos y sacerdotes cree que ha sido elegido por el diablo para ser el Anticristo.",1h 37min,Poseídos
230,"5,1",--,Chuck Russell,Cathy Cash SpellmanThomas RickmanClifford Green,"Cody, una niña abandonada por su madre y criada por su tía, es secuestrada. La tutora descubre que Cody tiene habilidades sobrenaturales y que los secuestradores son una secta satánica dispuesta a todo para conseguirlas.",1h 47min,La bendición
231,"4,8",52%,Karim Hussain,Karim Hussain,"Una antología de horror, que consta de cuatro segmentos, todos temáticos en torno a temas sangrientos.",1h 32min,Subconscious Cruelty
232,"5,2",63%,Geoffrey Wright,Ken Selden,"En el pequeño pueblo de Cherry Falls, un asesino psicótico está matando a los vírgenes del instituto local.",1h 32min,Cherry Falls
233,"6,9",--,E. Elias Merhige,Steven Katz,El rodaje de la película Nosferatu se ve obstaculizado por el hecho de que su protagonista Max Schreck se está tomando el papel de vampiro mucho más en serio de lo que parece.,1h 32min,La sombra del vampiro
234,"6,0",54%,Robert Lee King,Charles Busch,"Florence Forrest, una niña no tan inocente en la década de 1960 en Malibu, se convierte en ""Chicklet"", la primera chica surfista en la playa de Malibu.",1h 35min,Psycho Beach Party
235,"6,8",90%,John Fawcett,Karen WaltonJohn Fawcett,"Dos hermanas obsesionadas con la muerte, deben lidiar con las trágicas consecuencias cuando una de ellas es mordida por un hombre lobo.",1h 48min,Ginger Snaps
236,"6,0",--,Lance W. DreesenClint Hutchison,Clint Hutchison,"Añade un argumento en tu idioma
A real estate agent terrifies a couple with the grim fates of the previous owners of a house they're looking at.",1h 36min,Dream Valley. Área maldita
237,"3,9",--,Ted Nicolaou,Madison CharapTroy TaylorRyan Larson,Four young people spend a night in a haunted mansion.,1h 19min,El experimento de San Francesville
238,"4,9",--,Patrick Lussier,Joel SoissonPatrick Lussier,"Un grupo de ladrones irrumpe en una cámara esperando encontrar pinturas, pero en cambio, ellos mismos liberan al Conde, que viaja a Nueva Orleans para encontrar a la hija de su némesis, Mary Van Helsing.",1h 39min,Drácula 2001
239,"6,7",--,Sam Raimi,Billy Bob ThorntonTom Epperson,Una adivina con percepción extrasensorial recibe el encargo de ayudar a encontrar a una joven que ha desaparecido misteriosamente.,1h 52min,Premonición
240,"6,5",--,Brian Simon,Brian Simon,A young man's obsession with the Grim Reaper leads to a confrontation.,--,Gravely Speaking
241,"4,8",20%,Simon Hunter,Simon HunterGraeme Scarfe,"Members of a sunken prison ship take refuge at an old lighthouse, unaware one of their most notorious criminals has taken shelter there as well.",1h 35min,Lighthouse
242,"6,3",75%,Ryûhei Kitamura,Ryûhei KitamuraYûdai Yamaguchi,"Hay 666 portales que conectan el mundo con el otro lado. En algún lugar de Japón existe el portal 444, el bosque de la resurrección.",1h 59min,Versus
243,"6,7",--,Albert HughesAllen Hughes,Alan MooreEddie CampbellTerry Hayes,"En la época del Londres victoriano, un detective de la policía clarividente investiga los asesinatos de Jack el Destripador.",2h 2min,Desde el infierno
244,"4,4",19%,James Isaac,Todd FarmerVictor Miller,"Jason Voorhees regresa con una nueva apariencia, un nuevo machete y la misma actitud asesina cuando es despertado en una nave espacial del siglo XXV.",1h 32min,Jason X
245,"3,2",--,Olaf Ittenbach,Olaf Ittenbach,"Añade un argumento en tu idioma
Two guys, handsome William and his side kick Luke have just started their trip through the beautiful California desert when they're kidnapped by the notorious Psycho Mike, The Kern River Killer. Securing their escape through hilarious means and the aid of an old friend they soon stumble into a small desert town where unbeknownst to them a mysterious tall Blond Man and... Leer todo",1h 29min,La legión de los muertos
246,"4,4",--,William Wesley,Scott FivelsonThomas WeberWilliam Wesley,"Añade un argumento en tu idioma
A federal witness runs away and a team of government agents track him down, but when they take a shortcut on the return trip, they're attacked by zombies.",1h 26min,Ruta 666
247,"4,4",--,Jean-Paul Salomé,Arthur BernèdeJean-Paul SaloméDanièle Thompson,"En el museo del Louvre en París, el fantasma Belphegor se despierta y causa problemas eléctricos. Los guardias nocturnos del museo comienzan a morir, y Lisa es poseída. Martin intenta ayudar a la preciosa Lisa.",1h 37min,"La máscara del faraón: Belphegor, el fantasma del Louvre"
248,"5,6",--,Steve Beck,Robb WhiteNeal Marshall StevensRichard D'Ovidio,"Cyrus Kriticos, un rico coleccionista, muere dejándoselo todo a su sobrino y familia. Todo incluye su casa, su fortuna, y su colección de fantasmas.",1h 31min,13 fantasmas
249,"3,4",--,Phillip J. Roth,Terri NeishPhillip J. Roth,"As a result of a drilling accident, a giant man-eating boa constrictor is released into a maximum security prison in Antarctica.",1h 36min,Infierno en Alcatraz
250,"5,4",--,Rob Green,Clive Dawson,"Germany, 1944. The forests of the Ardennes. A platoon of battle weary German soldiers, forced into confusion and retreat by advancing Allied forces, take refuge in an isolated Siegfried Line bunker.",1h 35min,El bunker
251,"3,6",--,Murray Fahey,Ian CoughlanMurray Fahey,"A mom of 3 buys a cheap, old house. The backyard cubby-house is cursed with pure evil that took the previous owner's 2 kids.",1h 29min,Cubbyhouse: La cabaña
252,"6,2",45%,Victor Salva,Victor Salva,Dos hermanos de camino a casa para las vacaciones de primavera encuentran en su camino a una criatura carnívora en pleno apogeo devorador.,1h 30min,Jeepers Creepers
253,"5,6",69%,Sam Irvin,Cassandra PetersonJohn Paragon,Spooky high jinks abound when Elvira finds herself spending the night in a mysterious castle en route to 1851 Paris.,1h 30min,Elvira's Haunted Hills
