,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
92,"5,0",--,Lucio Fulci,Lucio FulciDaniele StroppaPiero Regnoli,"Un padre de familia muere envenenado, y se encubre como una hemorragia estomacal, su espíritu regresa para encontrar a sus asesinos.",1h 31min,Voces del mas allá
93,"4,0",--,Alan Roberts,Neil Ronco,Una contadora con problemas personales y profesionales se involucra con una mujer fatal y su misterioso psiquiatra.,1h 33min,Engaño mortal
94,"4,0",--,Raúl Araiza,Alejandro CamachoHelena RojoArturo Adonay,"Añade un argumento en tu idioma
A murderer is hired to kill Falcon, a politician who dreams of being governor. Pretending to be a photographer, he interviews him and discovers that his wife is the same one who helped him in an accident.",1h 30min,Guerrero negro
95,"4,0",--,Robert Ginty,Anthony PalmerRobert Ginty,A lawyer defends a yacht captain accused of killing his boss and raping his mistress.,1h 34min,La mujer más deseada
96,"5,4",--,Chris Jones,Geneviève JolliffeChris Jones,"Añade un argumento en tu idioma
Ellen Carter's career is on the rocks. She hasn't written a worthy novel since her husband went missing and she was suspected by the police of murdering him. To top it all off, she has reason to believe that her new tenant Leslie Steckler is the serial killer responsible for a number of deaths in the region. But what she doesn't know is that, in the meantime, Steckler... Leer todo",1h 36min,White Angel
97,"5,9",--,Michael Cohn,Michael Cohn,Detectives investigan el aparente asesinato en serie de varios niños después de encontrar manos cortadas.,1h 45min,La séptima sombra
98,"5,2",--,Robert Golden,Peta LilyDavid GlassRobert Golden,"Añade un argumento en tu idioma
A power struggle occurs at a hospital where a murder has been committed.",1h 48min,Beg!
99,"4,5",--,Ruben Preuss,Miguel Tejada-FloresWilliam Valtos,"Añade un argumento en tu idioma
A woman psychologist, who specialises in research about twins, is haunted by her dead mothers ghost.",1h 32min,Muerte aparente
100,"6,5",--,Harold Becker,Aaron SorkinJonas McCordScott Frank,"La historia de una pareja felizmente casada que quiere formar una familia. Tracy es profesora de arte, y Andy decano. Pero todo cambia cuando Tracy tiene que ser operada de urgencia por Jed, un cirujano con complejo de Dios.",1h 47min,Malicia
101,"6,5",--,Igor Minaiev,Jacques BaynacIgor MinaievBernard Stora,"Añade un argumento en tu idioma
This is 1920: Sophia and Trofim Ivanytch have been living on Vassilievski Island, which is part of Petrograd, for thirteen years. In their house, which looks like a ship wreck, the atmosphere is gloomy. Sophia cannot have children and she is aware that, because of that, she is likely to lose her husband. That is why, when their neighbor dies, she asks Trofim to take i... Leer todo",1h 39min,Navodneniye
102,"6,1",--,Beeban Kidron,Jeanette Winterson,"Añade un argumento en tu idioma
A young woman becomes involved with a man who not only may be an art thief, but a murderer.",1h 33min,Great Moments in Aviation
103,"8,0",88%,Kar-Wai Wong,Kar-Wai Wong,"Dos policías melancólicos de Hong Kong se enamoran: uno, de una mujer misteriosa de los bajos fondos, y, el otro, de una preciosa camarera en un restaurante nocturno que frecuenta.",1h 42min,Chungking Express
104,"7,2",--,Roman Polanski,Ariel DorfmanRafael Yglesias,Una activista política está convencida de que su invitada es un hombre que una vez la torturó para el gobierno.,1h 43min,La muerte y la doncella
105,"5,8",--,John Reid,Keith Aberdein,"Añade un argumento en tu idioma
During WW2 small nation of New Zealand is swarmed with U.S. servicemen who mingle with local female population. In such circumstances nurse Kelly Towne has got a difficult task of tracking down venereal diseases. She meets U.S. Marine Captain Michael Starwood who is investigating the murder of one U.S. servicemen.",1h 52min,El último tatuaje
