,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
66,--,28%,R.G. Pitica,Jon MiedzikRobert ChinJeff Dong,,--,The Duel
67,--,--,Mario Nava,Mario Nava,,17m,Atun power
68,--,--,Pierre Falardeau,Pierre Falardeau,,--,Une minute pour l'indépendance
69,--,--,Miguel Ángel Lamata,Miguel Ángel Lamata,"Just imagine Lily ""Crazy Trigger"" and Frankie ""The Baboon"", two merciless murderers breaking out of a maximum security prison in a blood bath. Undoubtly, they'll seek revenge on Hardwell, who put them in jail. They could even challenge him into a game of chess... But Frankie is a vicious bad loser. In that situation: As whom would you rather play?",10m,¿Quién te pides?
70,--,--,Chris Seaver,Chris Seaver,Add a plot,--,Splatter Squad
71,--,--,Philip Shanahan,Philip Shanahan,"Charlie Barnacle has the worst luck, first his wife leaves, then the IRS is after him. What can a poor boy do but to take matters into his own hands? Charlie is the original ""Man on Fire"". Awarded Best Experimental Film, 1995 Worldfest Houston",30m,Lost Victories
72,--,--,Rick Gott,Rick Gott,The chased will be caught.,--,Chased
73,7.3,--,Noriyuki Abe,Koji KiriyamaHiroshi Hashimoto,The Ninku ninja clan come to a town that needs protection but there are others that also call themselves Ninku.,26m,Ninku the Movie
74,--,--,Blake Masters,Blake Masters,"An actor finds that the director, for whom he is auditioning, has an interesting way of bringing out the emotions, which he finds intriguing.",--,The Audition
75,6.9,--,Yoshiaki Kobayashi,Shozo Uehara,Add a plot,40m,Chouriki Sentai Ohranger: The Movie
76,--,--,Thomas Eikrem,--,,4m,All the Beautiful Things
77,--,--,Akio ÔtsukaKeiichi NanbaMichie Tomizawa,--,"In an educational semi-sequel to Street Fighter II: The Animated Movie, the main characters are sent back in time to Fujiwara to learn about Japanese history.",23m,Street Fighter II: Return to Fujiwara Capital
78,--,--,Bill BoyleJulie KacherLeandro Leporace,Andrea AlfredCarlos AmadorJim Barr,Add a plot,--,Photo Justice
79,6.2,80%,Nicholas Thurkettle,Nicholas Thurkettle,"Bradley University Students are dying. It's up to Chief Hampton, Cooper, and Captain Squint to solve the mystery before President Dave is forced to raise book prices, again.",26m,Teeth
80,--,--,Roel Reiné,Bert Bouma,,35m,No More Control
81,6.4,49%,Paul Hough,Paul Hough,Jamie picks up a payphone on a New York Street corner. He's told that if he puts the phone down he will be shot by a sniper.,--,End of the Line
82,--,--,Mark Chavarria,Mark Chavarria,,15m,Witness
83,--,--,Benjamin Heisenberg,Benjamin Heisenberg,,11m,Terremoto
84,6.4,--,Charles C. CampbellKen WebsterSamantha Inoue Harte,--,"Linn Suzuki, gets attacked by thugs when she finds a dice on the ground. She is helped by a beautiful stranger, Miho Kuon who lets her live with her. But a evil agency is after them.",30m,Kotetsu no daiboken
85,8.5,--,Paul Poet,Paul Poet,An AntiMTV-Rock'n'Roll-allegory. A comment on Grunge's corporate happy misery.,18m,Hoch Zeit
86,8.2,--,Yvan Gauthier,Yvan Gauthier,,8m,Fucking Zone
87,--,43%,Fernando Reyes,Fernando Reyes,,15m,Clandestinos
88,--,--,Andreas Marschall,Tim LunaAndreas Marschall,Add a plot,1m,Lipovitan B3 - The Energizer
89,--,--,Germán Magariños,Pablo CibalerioLeandro De la TorreSantiago González Crende,,10m,El guerrero del asfalto contra los piratas radioactivos
90,--,76%,Leo Henry,Leo Henry,,--,Black Book
91,--,--,Lance Lucero,Lance Lucero,An epic battle between two Knights.,4m,Fantasyland
92,--,--,Nicolás Ciganda,Nicolás CigandaFacundo Fernandez LunaRoman Varela,,5m,Aventuras en Shanghai 4
93,--,--,Keith Mooney,Keith Mooney,"Dan, a loner, lives his life by the lotto. Any time there's a big drawing he's in it to win it - no matter what the circumstances.",12m,Time to Play Lotto
94,--,--,Tamarat Makonnen,Tamarat Makonnen,"A juxtaposition of surreal imagery, including a mysterious figure, a disgruntle clown and a Shaolin monk.",9m,Images
95,--,--,Nicola Barnaba,Nicola Barnaba,Add a plot,--,Lo straniero
96,6.9,--,Masahiro Tsuburaya,Masaru HayakawaMuneharu IchimaruShinobu Oito,Add a plot,25m,Revive! Ultraman
97,6.3,--,Jeff Lew,Jeff LewJeff Lew,"Killer bean has been imprisoned. After the blue beans have asked many questions with some punching he introduces himself as being The Killer Bean. The interrogator gets scared when he discovers who he has been punching and attempts to run away, but a guard bean shoots him. The beans continue the interrogation with another bigger, stronger bean as the interrogator. Aft... Read all",2m,The Killer Bean
98,--,--,Scott Hellon,Scott Hellon,The title characters engage in ridiculously inept battle.,2m,"Stupid Swordsman, Lazy Sorcerer"
99,7.5,--,Jamie Neese,Jamie Neese,,--,A La Cart
100,6.4,--,Konrad Jay,Colin Bateman,"It's Christmas, and in a Belfast toyshop, three despairing people are forced to contemplate suicide on a dangerous window ledge; a recently fired dad who has only enough money to buy his daughter a giant teddy bear, an alcoholic Santa who's fed up with kids, and the bankrupted store owner. When two security guards attempt to talk them down, they end up on the ledge as... Read all",18m,Jumpers
101,5.9,--,Farshid Seilatani,Farshid Seilatani,,24m,Svart fredag
102,2.8,--,Michael A. Martinez,Brandon BacaNathan BryantMichael A. Martinez,,34m,Cosmic Space Ninja
103,8.8,--,Scott Speirs,Hart Getzen,"Based on the television series ReBoot, this IMAX ride lets us go into the mind of Hexadecimal. Mike the T.V. and Herr Doktor are your tour guides, as they access the Random Access Memory Machine which will allow you to see the mind and memories of Hexadecimal.",6m,ReBoot: The Ride
104,8.8,--,Erik Lorentz,Martin AronssonMagnus LorentzJohan Nilsson,"A group of geeks are in possession of The Holy English book. However, a group of ninjas steals the book, in hope of getting rid of their outrageous accents. During this theft a number of the geeks die. The remaining geeks train themselves in the arts of war, and go off to seek revenge. That, however, will not be as easy as they might have expected. The ninjas have a f... Read all",17m,MVG
105,--,--,Guy Myhill,Guy Myhill,,11m,Two Half Times to Hell
106,--,31%,Nathan Fleet,Nathan Fleet,A puppeteer is captured by a secret agency that plans to control people that have the ability to manipulate.,17m,Superintelligence
107,6.9,--,Kôji Morimoto,Hideo Morinaka,"In a town taken over by an artificial being -the titular Noiseman, Tobio and his friends must confront it to help bring the music back.",16m,Onkyô seimeitai Noizuman
108,--,--,Timo Novotny,Timo Novotny,"Everything worked out fine till he came up with a plan. The Plan is an action movie, about 4 people failing to rob a shop.",5m,The Plan
109,--,100%,Eric D. Howell,Eric D. Howell,"To gain employment with a shady corporation bent on domination, a job applicant finds himself in the midst of a live-fire obstacle course.",22m,The Interview
110,7.0,72%,Christopher Nolan,Christopher Nolan,"In his squalid apartment, a man tries to squash with his shoe an insect of some kind that is moving around the room.",3m,Doodlebug
111,--,62%,Robin Acutt,Robin Acutt,,--,Amnesty
112,--,--,Michael CruickshankWill O'LoughlenKaleo Quenzer,Michael CruickshankWill O'LoughlenKaleo Quenzer,"""Fast guns, cool cars, hot chicks and Memphis rock-n-roll make this gangster flick damn entertaining."" This ten-minute picture, about the double-crossing dealings of a young mob boss and his cronies, stars Kaleo Quenzer, Bryan Cournoyer, Stevan Lazich, Justin Thompson (of Memphis' indie-instrumental rockers ""Impala"") and Darian Corley. Blown was shot on Super8 film wi... Read all",--,Blown
113,--,--,Greg FadellPeter WardowskiMatt Zavharias,Greg FadellPeter WardowskiMatt Zavharias,,8m,Max
114,--,--,Nin Brudermann,Nin Brudermann,"A Baby Rhino is viciously attacked by hyenas at night. Sound: 'Play me the Song of Death'. The hyenas enjoy taunting their victim before delivering the final blow. Mama Rhino is desperate, baby is already in bad shape. There is an unexpected twist to a seemingly doomed situation: a lion feels disturbed in his sleep by the nightly massacre and intervenes.",4m,Baby Rhino
115,--,93%,Nin Brudermann,Nin Brudermann,"The inexplicable performance of a fly. Fly enters stage, executes a backflip, spins on the floor, briefly loses its orientation, regains it, exits stage to the left. The crowd cheers for more.",3m,The Fly
116,--,--,Loïc Connanski,Loïc Connanski,"Sitting comfortably in his living room, a calm and cold-blooded man explains how, earlier that night, he tried to shoot an elusive and acrobatic foreigner wearing a Spiderman hood who picked on him in the street below.",2m,L'étranger
117,--,--,--,--,Add a plot,--,Enes Gezici
118,--,--,Nick Gear,Nick Gear,"Four friends attempt a heist, but fail. On the run, their fear and paranoia grows as one by one they are caught by the police.",29m,A Jilted Generation
119,6.3,--,Dennis Gansel,Christian BeckerDennis GanselStefan Holtz,,15m,Living Dead
120,--,--,Thomas Eikrem,Thomas Eikrem,,1m,Atomic Vector
