,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
39,6.9,83%,Shirley Sun,Mark SalzmanShirley Sun,"Mark Salzman always was interested in Kung-Fu and the Chinese culture, claims to have seen every Kung-Fu movie. 1982, with a degree in Chinese literature, he visits a province university in China for two years to teach Chinese teachers the English language. He learns the refinements of correct behavior among Chinese people, makes friends with his pupils, falls in love... Read all",1h 32m,Iron & Silk
40,5.1,--,Albert Pyun,Albert Pyun,"Two outer-space aliens visit Earth with the intention of blowing it up, but they meet a hot blonde and decide to postpone the planet's destruction in order to try to score with her.",1h 30m,Deceit
41,6.5,--,Lina Wertmüller,Eduardo De FilippoRaffaele La CapriaLina Wertmüller,"Peppino and Rosa have been married for about 30 years. They live in a large house with a sea view in the Rione Terra with their children Rocco and Giulianella, grandfather Don Antonio, and Aunt Amelia.",1h 59m,"Saturday, Sunday and Monday"
42,5.2,38%,Wellson ChinShan Hua,Abe KwongChun-Wai Lau,Cynthia Rothrock helps to protect a Buddhist boy from villains who wish to stop him from becoming the Prince of the Sun.,1h 33m,Prince of the Sun
43,4.5,--,Mark ByersTom Pardew,Tim Minear,"Tesia's vacation takes an unexpected turn as she uncovers discrepancies in the number of buried bodies registered by her Grandfather, while navigating a romantic entanglement with an older cowboy and her young best friend.",1h 25m,Diggin' Up Business
44,7.6,70%,Yves Robert,Marcel PagnolJérôme TonnerreYves Robert,"Every holiday Marcel and his family go to their cottage near Marseilles. During one of these holidays he meets Isabelle, a pretty but conceited girl... Adapted from the cult classic novel from Marcel Pagnol.",1h 38m,My Mother's Castle
45,7.3,57%,Michael Verhoeven,Michael Verhoeven,"When a young woman investigates her town's Nazi past, the community turns against her.",1h 34m,The Nasty Girl
46,4.8,40%,Duane Clark,Duane ClarkSteven Wilde,A crowd of guys in their 20's spend most of their time hanging out. It's Christmas time in the early 1990's and the guys all begin to think it's about time they went about their lives without the comfort of the diner.,1h 37m,Shaking the Tree
47,6.3,29%,Gregg Champion,John BlumenthalMichael Berry,"When a police detective thinks he is dying and learns that his life insurance pays out more if he dies in the line of duty, he tries to make that happen.",1h 37m,Short Time
48,4.8,--,Doug Lodato,Doug Lodato,"Two crazy cousins try to outwit their boss and the mob, and take their best shot at becoming rich and famous, in Doug Lodato's wacky Best Shots! Electronic laser guns, banana statues, scavenger hunts, flying beer and, of course, chicken pot pie with Cheeze Whiz are all part of this wild adventure, where no work and all play is the motto of the day!",1h 18m,Best Shots
49,6.5,--,Michael Raeburn,Michael Raeburn,A young African man must try every trick in the book in this attempts to win the heart of the most beautiful girl in his village.,1h 38m,Jit
50,7.2,--,Anthony Minghella,Anthony Minghella,A woman dealing with inconsolable grief over the death of her partner gets another chance when he returns to earth as a ghost.,1h 46m,Truly Madly Deeply
51,7.4,80%,Hal Hartley,Hal Hartley,"After being thrown out of her house, Maria encounters a married woman who complains of not having children. Maria ends up in an abandoned house, where she meets Matthew. When a baby is kidnapped Maria sets out to find the woman.",1h 47m,Trust
52,7.8,--,Nikolay Dostal,Georgiy NikolaevAndrey Zhigalov,"In a dreary Russian village, over-enthusiastic and underappreciated Kolya spontaneously announces that he has plans to leave for the far-east today, garnering far more attention and support than he anticipated.",1h 16m,Cloud-Paradise
53,6.1,--,Jim Wolpaw,Geoff AdamsRich LupoDennis Maloney,"Terrorists, political conspiracy, drugs and bad music. Just another night at the Heartbreak hotel.",1h 21m,Complex World
54,7.3,--,Vyacheslav Krishtofovich,Vyacheslav KrishtofovichVladimir KuninAnatoli Kurchatkin,"In a small urban flat, grandma, mom, and two daughters live in partial harmony. Grandma is bed-ridden and mute, but rings a bell above her head. Her daughter Nina, a museum docent, misses male friendship and both her ex-husbands. Each fathered a daughter: Lida, beautiful, in her 20's, having an affair with her boss, and contemplating a month's vacation with him, and N... Read all",1h 19m,Rebro Adama
55,7.0,90%,Ken Loach,Bill Jesse,The story of construction-worker Stevie and his unemployed pop-singer girlfriend shows the living conditions of the British poor class.,1h 35m,Riff-Raff
56,5.9,--,Valentin Khovenko,Nikolai Kolyada,Add a plot,1h 11m,Kuritsa
