,IMDB,RT,Direccion,Guión,Argumento,Duración,Título
33,"4,8",--,Michel Wachniuc,Robert RufoGeorge SlobonzianDouglas Taylor,"Añade un argumento en tu idioma
Set within a mental ward, doctors try to cope with people suffering from a variety of ailments. Among the afflicted are a young man who believes his parents are really from outer space, a murderous television producer, and a prominent fashion photographer obsessed with a motivational record.",1h 23min,You're Driving Me Crazy
34,"7,6",--,Zbigniew Rybczynski,Zbigniew Rybczynski,Añade un argumento en tu idioma,52min,The Orchestra
35,"5,6",--,Mel Chionglo,Ricky LeeMars RaveloElpidio Torres,"Añade un argumento en tu idioma
A MERMAID REALIZED HER DREAM TO BE FULLY HUMAN AND LIVE WITH THE MAN SHE LOVES.",1h 41min,Dyesebel
36,"5,7",--,Thomas Yip,Tung Ho,"Añade un argumento en tu idioma
Lam Ching Ying, along with his two assistants, attempt to dispel an evil Japanese spirit who haunts the woods. CiCi, a woman who is kidnapped by the evil spirit, is forced to marry, turning evil. The three good guys try to vanquish the evil spirits and end up in modern day Hong Kong.",1h 30min,Tian di xuan men
37,"5,0",--,Chuo-Chi Leung,Kong Mou,"Añade un argumento en tu idioma
1391: The good Chiang Su-Su manages to defeat the evil spirit Elf Fox, but has her soul transferred to a jasper incense holder and remains dormant for hundreds of years. In 1991 the Elf Fox returns to lethal life to wreak havoc on modern Hong Kong. The Elf Fox needs to absorb the souls of 108 men in order to obtain her full power. It's up to Su-Su's sweet descendant Y... Leer todo",1h 31min,Meng gui hu li jing
38,"3,7",23%,Howard R. Cohen,Howard R. CohenBeverly Gray,"Deathstalker must defend his remaining comrades, his life, and his newfound love in the battle against an evil army of stone warriors and the wicked queen who created them.",1h 31min,Deathstalker IV: Match of Titans
39,"6,7",--,Günter Meyer,Helmut BergmannGerd GerickeAnne Goßens,"Añade un argumento en tu idioma
Eight year old Paul and his mother just moved to a skyscraper. After an embarrassing encounter with Anna, Paul meets her in the elevator. Anna makes fun of him and they start to quarrel. They can't arrange about going up or down. The elevator suddenly drops and carries them deep down into the realms of a wicked witch. The witch is out for their youth, since her own ti... Leer todo",1h 15min,Olle Hexe
40,"5,2",--,Wellson ChinShan Hua,Abe KwongChun-Wai Lau,"Añade un argumento en tu idioma
Cynthia Rothrock helps to protect a Buddhist boy from villains who wish to stop him from becoming the Prince of the Sun.",1h 33min,El príncipe del sol
41,"6,8",--,Paul Schibli,E.T.A. HoffmannPatricia Watson,An adaption of the classic tale of a girl's dreams turned reality when her new toy turns out to be a young man placed under a curse.,1h 15min,El príncipe Cascanueces
42,"3,2",--,Warren A. Stevens,Budd Lewis,"Añade un argumento en tu idioma
In the future, large corporations earn millions of dollars by staging gladiatorial fights to the death that are shown on worldwide television. One day, however, a fighter who is scheduled to hunt and kill an opponent in the Arizona desert decides he's had enough, and makes a run for it. His opponent is instructed to track him down and kill him.",1h 23min,Lucha de titanes
43,"6,5",--,Michael Raeburn,Michael Raeburn,"Añade un argumento en tu idioma
A young African man must try every trick in the book in this attempts to win the heart of the most beautiful girl in his village.",1h 38min,Jit
44,"7,2",--,Anthony Minghella,Anthony Minghella,Una mujer que lidia con un dolor inconsolable por la muerte de su pareja tiene otra oportunidad cuando él regresa a la tierra como un fantasma.,1h 46min,Truly Madly Deeply
45,"8,0",--,Gary TrousdaleKirk Wise,Linda WoolvertonBrenda ChapmanChris Sanders,Un príncipe egoísta es condenado a convertirse en un monstruo para el resto de su vida a menos que consiga enamorarse de una hermosa joven a la que mantiene presa.,1h 24min,La bella y la bestia
46,"6,3",58%,Werner Schroeter,Elfriede JelinekIngeborg BachmannPatricia Moraz,"Una escritora y sus relaciones con dos hombres diferentes, uno alegre y otro introvertido.",2h 5min,Malina
47,"6,8",--,Steven Spielberg,J.M. BarrieJames V. HartNick Castle,"Cuando el capitán James Hook secuestra a sus hijos, un Peter Pan adulto debe regresar al País de Nunca Jamás y recuperar su espíritu juvenil para desafiar a su viejo enemigo.",2h 22min,Hook (El capitán Garfio)
48,"7,1",--,Nacer Khemir,Nacer Khemir,"Añade un argumento en tu idioma
This second feature in Nacer Khemir's ""Desert Trilogy"". The story revolves around Hassan, who is studying Arabic calligraphy from a grand master. Coming across a fragment of manuscript, Hassan goes in search of the missing pieces, believing that once he finds them, he will learn the secrets of love. With the help of Zin, a lovers' go-between, he meets the beautiful Az... Leer todo",1h 26min,Le collier perdu de la colombe
49,"5,8",--,Mark Peploe,Mark PeploeFrederick Seidel,"A little boy, obsessed with blindness and violence, slowly gets trapped in his own delusions.",1h 31min,Solo en la oscuridad
50,"4,7",--,Rachel Talalay,Wes CravenRachel TalalayMichael De Luca,"Freddy Krueger vuelve una vez más para acechar los sueños de la única superviviente de Springwood, y una mujer cuya conexión personal con Krueger podría ser su ruina.",1h 29min,Pesadilla final: La muerte de Freddy
51,"5,8",--,Samir,SamirMartin WitzUlrike Zimmermann,The political activist Claude is shot. While in the realm of the dead he falls in love with the hairdresser Dodo. They only have 12 hours.,1h 31min,Immer & ewig
52,"4,2",32%,Nicholas Jacobs,Christopher OldcornNicholas JacobsPhilip Dolin,"Añade un argumento en tu idioma
A couple move into a bad apartment in a bad neighborhood in New York. The apartment contains a refrigerator, which is the only thing they like in the place. However, they slowly discover that the refrigerator is a monster which kills people in gruesome ways and then sends them to hell. The refrigerator is already gaining mind control over the husband. What will happen... Leer todo",1h 26min,The Refrigerator
53,"6,0",--,Biao Yuen,Kam Cheong ChanChi-Leung ShumBarry Wong,"Añade un argumento en tu idioma
A monk from Tibet is sent to Hong Kong by his master. He is to recover a magical bottle to which he has the cap from a lawyer. When these items were united long ago they protected Tibet from invasion by the evil Black Section of Esoteric Buddhism. The monk meets and protects a woman who is acting as the agent for the lawyer, and the Black Section fight to gain the mag... Leer todo",1h 37min,Xi Zang xiao zi
54,"5,4",50%,Jim Groom,Tim DennisonJim GroomRichard Mathews,"Añade un argumento en tu idioma
The horny farmer McDonald has his wicked way with a goat. Life returns to normal for the family, until the goat gives birth! The mutant off spring, called Billy, is tormented by the Farmer's sons, only the daughter feels any pity for him. It isn't long before Billy, who keeps growing bigger, plans revenge...",1h 27min,Revenge of Billy the Kid
55,"4,8",--,Brett Thompson,Wili BaronetLisa Morton,A scientist's kids are sucked into a TV screen and wind up in the Stone Age with cavemen and dinosaurs.,1h 28min,Dinosaurios
56,"4,9",--,Dennis Potter,Dennis Potter,"Añade un argumento en tu idioma
During a train ride, an anxiety attack leads middle-aged illustrator John (Sir Alan Bates) into an identity crisis. As his marital problems merge and blur into his fantasy life with prostitutes and call girls, a long-dormant secret friend of his childhood surfaces in his delusions. Writer and Director Dennis Potter viewed John as ""a victim of what he himself has creat... Leer todo",1h 37min,Secret Friends
57,"6,0",--,Ate de Jong,Brian Helgeland,Una novia que se fuga es llevada al infierno y su prometido debe perseguirla.,1h 34min,Autopista al infierno
